user_id,visits,purchased
1,4,1
2,4,1
3,5,1
4,1,0
5,7,1
6,1,0
7,4,1
8,2,0
9,2,0
10,5,1
11,4,1
12,1,0
13,6,1
14,2,0
15,5,0
16,0,0
17,2,0
18,2,0
19,3,0
20,4,1
21,0,0
22,2,1
23,2,0
24,3,0
25,2,0
26,4,0
27,5,0
28,3,1
29,4,0
30,4,0
31,1,0
32,2,1
33,2,0
34,4,1
35,3,1
36,5,1
37,3,0
38,4,1
39,5,1
40,2,1
41,4,1
42,3,1
43,2,0
44,7,1
45,3,0
46,3,1
47,2,0
48,3,0
49,4,1
50,0,0
51,1,0
52,2,1
53,4,0
54,2,0
55,4,1
56,3,0
57,2,1
58,3,1
59,4,1
60,3,1
61,5,1
62,4,0
63,3,1
64,1,0
65,2,0
66,2,0
67,1,0
68,1,0
69,1,0
70,1,0
71,3,1
72,2,0
73,1,0
74,3,1
75,2,0
76,1,0
77,6,1
78,3,0
79,5,1
80,2,0
81,2,0
82,3,0
83,6,1
84,5,1
85,3,1
86,2,0
87,5,1
88,4,0
89,3,0
90,5,1
91,2,0
92,2,0
93,5,1
94,2,1
95,3,1
96,7,1
97,4,1
98,2,0
99,4,1
100,3,1
101,4,0
102,3,1
103,1,0
104,1,0
105,4,1
106,0,0
107,1,1
108,3,0
109,5,1
110,1,0
111,4,0
112,2,0
113,3,0
114,1,1
115,3,1
116,4,1
117,3,1
118,4,1
119,3,1
120,1,1
121,4,1
122,3,0
123,0,1
124,2,1
125,5,0
126,4,1
127,7,0
128,2,0
129,2,0
130,2,0
131,2,1
132,3,1
133,2,1
134,6,1
135,1,0
136,2,0
137,6,1
138,2,0
139,3,0
140,2,1
141,2,1
142,2,1
143,5,1
144,1,0
145,5,1
146,5,1
147,2,0
148,3,0
149,1,0
150,4,0
151,5,1
152,6,1
153,6,1
154,3,0
155,0,0
156,7,1
157,4,1
158,1,0
159,3,1
160,3,0
161,3,0
162,2,0
163,4,1
164,4,1
165,2,1
166,1,0
167,5,1
168,6,1
169,1,0
170,1,0
171,0,0
172,3,0
173,5,0
174,5,1
175,2,1
176,2,0
177,6,1
178,5,1
179,4,0
180,2,1
181,1,0
182,3,1
183,1,0
184,1,0
185,2,1
186,1,0
187,2,1
188,3,1
189,4,1
190,3,0
191,1,0
192,2,0
193,0,0
194,2,1
195,1,0
196,2,1
197,3,0
198,5,1
199,6,1
200,3,1
201,1,0
202,0,0
203,1,0
204,4,0
205,3,0
206,4,0
207,0,0
208,5,0
209,2,0
210,4,1
211,3,0
212,5,1
213,4,0
214,3,0
215,3,0
216,2,0
217,6,1
218,5,1
219,4,0
220,1,0
221,5,0
222,5,1
223,2,0
224,1,0
225,4,1
226,3,0
227,2,0
228,1,1
229,4,0
230,4,1
231,4,1
232,2,0
233,3,1
234,1,0
235,4,0
236,3,1
237,3,0
238,2,0
239,2,0
240,5,0
241,1,0
242,6,1
243,2,1
244,4,0
245,2,0
246,2,0
247,4,0
248,4,1
249,2,1
250,5,1
251,3,0
252,2,1
253,2,0
254,5,1
255,5,1
256,2,0
257,6,0
258,5,1
259,4,1
260,2,0
261,2,1
262,1,0
263,3,1
264,2,1
265,1,0
266,3,1
267,5,1
268,4,1
269,6,1
270,4,0
271,9,1
272,2,1
273,3,1
274,2,0
275,3,1
276,2,1
277,2,0
278,4,1
279,2,0
280,4,0
281,7,1
282,3,1
283,2,0
284,6,1
285,4,0
286,2,0
287,1,1
288,1,0
289,2,1
290,3,0
291,4,0
292,4,0
293,3,0
294,2,0
295,1,0
296,4,1
297,6,1
298,2,0
299,5,1
300,0,0
301,3,0
302,4,0
303,4,1
304,0,0
305,3,1
306,4,1
307,2,0
308,2,0
309,2,0
310,2,0
311,1,1
312,3,1
313,3,0
314,2,1
315,5,1
316,5,0
317,5,1
318,2,0
319,1,1
320,4,0
321,5,0
322,4,1
323,2,1
324,2,0
325,3,1
326,4,1
327,4,1
328,0,0
329,2,0
330,4,0
331,4,0
332,1,1
333,6,1
334,3,1
335,6,1
336,1,0
337,5,0
338,3,0
339,3,0
340,3,0
341,2,0
342,4,0
343,5,1
344,3,0
345,3,1
346,3,0
347,4,0
348,2,1
349,3,1
350,4,0
351,5,1
352,6,0
353,2,0
354,2,0
355,2,0
356,1,0
357,5,0
358,0,0
359,1,1
360,4,1
361,5,1
362,1,0
363,5,1
364,4,1
365,3,1
366,2,1
367,5,0
368,1,0
369,2,0
370,4,1
371,7,1
372,6,1
373,4,1
374,4,1
375,2,0
376,2,0
377,4,1
378,2,0
379,1,0
380,2,0
381,6,0
382,2,0
383,3,0
384,1,0
385,2,0
386,5,1
387,6,0
388,0,1
389,4,1
390,2,0
391,7,1
392,4,1
393,1,0
394,2,1
395,3,0
396,3,1
397,3,0
398,3,0
399,4,1
400,1,0
401,2,0
402,3,1
403,3,1
404,2,1
405,7,1
406,3,0
407,1,0
408,5,1
409,2,1
410,4,1
411,0,0
412,3,0
413,4,1
414,4,1
415,9,1
416,1,0
417,4,1
418,5,0
419,9,1
420,4,1
421,5,1
422,2,0
423,3,0
424,1,0
425,1,0
426,2,0
427,5,1
428,3,0
429,0,0
430,6,1
431,4,1
432,5,1
433,1,0
434,1,1
435,2,1
436,3,0
437,6,1
438,3,1
439,1,1
440,4,1
441,3,0
442,3,0
443,4,1
444,3,0
445,2,1
446,3,1
447,6,1
448,4,1
449,6,1
450,1,0
451,1,0
452,3,0
453,3,1
454,4,0
455,6,1
456,2,0
457,7,1
458,7,1
459,2,0
460,5,1
461,1,0
462,3,1
463,2,0
464,2,0
465,1,0
466,1,1
467,0,0
468,3,0
469,1,0
470,2,0
471,3,1
472,5,1
473,3,1
474,0,0
475,2,0
476,6,1
477,3,0
478,2,0
479,3,0
480,1,0
481,2,1
482,5,0
483,5,1
484,2,0
485,5,0
486,2,0
487,5,0
488,4,1
489,3,1
490,2,0
491,3,0
492,6,1
493,3,0
494,1,1
495,1,1
496,3,0
497,0,0
498,3,0
499,0,0
500,2,0
501,4,0
502,3,1
503,2,0
504,7,1
505,2,0
506,2,0
507,5,1
508,1,0
509,3,0
510,4,1
511,4,0
512,3,0
513,1,0
514,3,0
515,3,1
516,5,1
517,2,0
518,2,0
519,4,1
520,4,1
521,2,1
522,1,0
523,2,0
524,1,0
525,1,0
526,2,1
527,2,1
528,1,0
529,5,1
530,6,1
531,3,0
532,3,1
533,0,0
534,4,1
535,2,0
536,2,0
537,4,1
538,3,0
539,2,0
540,3,1
541,5,1
542,3,0
543,3,0
544,1,0
545,2,1
546,2,0
547,4,1
548,2,0
549,2,1
550,3,0
551,3,1
